,,,,,,,,,,,,,,,,,,,,,,,,
연번,"광역자치
단체명","기초자치
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",합계 예산(백만원),국비 예산(백만원),지방비 예산(백만원),"기타
(민간, 자부담 등) 예산(백만원)",방문객수(2023년) 합계,방문객수(2023년) 내국인(명),방문객수(2023년) 외국인(명),전담조직명,조직형태,설립근거,국비 지원 부처명,축제 담당자 기관명,축제 담당자 부서명,축제 담당자 직급/직책,축제 담당자 성명,축제 담당자 연락처
23,서울,강동구,제29회 강동선사문화축제,전통역사,10.11.~10.13.,서울 암사동 유적 일원,대면,1996,596,0,596,0,"466,174","466,174",미집계,강동구청,기초지자체,서울특별시 강동구 선사문화축제에 관한 조례,해당없음,강동구청,문화예술과,주무관,이지우,02-3425-5247
24,서울,강북구,419혁명국민문화제,전통역사,4.12.~4.19.,강북구 일원,대면,2013,750,200,550,0,"60,000","60,000",미집계,419혁명국민문화제위원회,비영리법인,,국가보훈부,강북구청,문화관광과,주무관,구경모,02-901-6205
25,서울,강북구,천변라이프 강북페스타2024,문화예술,5.31.~6.2.,우이천 일대,대면,2023,294,0,294,0,"13,000","13,000",미집계,-,-,-,해당없음,강북구청,문화관광과,주무관,김가영,02-901-6216
26,서울,강북구 ,제2회 맥주축제,기타(시장활성화),9월중 2일간,강북구 일대,대면,2023,291,0,291,0,"43,239","43,239",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,김이진,02-901-7252
27,서울,강북구,제2회 크리스마스 마켓,기타(상권활성화),12.20~12.22,수유역 상권일대,대면,2023,192,0,192,0,"48,300","48,300",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,송형권,02-901-6456
28,서울,강북구,제2회 미아달빛시장,기타(상권활성화),10월~11월중 2일간,미아사거리역 상권일대,대면,2023,55,0,55,0,"1,600","1,600",미집계,-,-,-,해당없음,강북구청,지역경제과,주무관,유보람,02-901-6452
29,서울,광진구,제2회 광진청년문화Street페스티벌,문화예술,9월 중,능동로 일대,대면,2023,100,0,100,0,"3,800","3,800",미집계,광진구청 문화예술과,,,해당없음,광진구청,문화예술과,주무관,김명진,02-450-7596
30,서울,금천구,제2회 금천 청년축제,기타,09.28.(예정),관내(미정),대면,2023,89,0,89,0,200,200,미집계,해당없음,,,해당없음,금천구청,일자리청년과,주무관,최서강,02-2627-2583
31,서울,금천구,제6회 금천과학축제,문화예술(과학),09.06.~09.07.,금천구청 일대,대면,2019,280,0,280,0,"7,470","7,470",미집계,해당없음,,,해당없음,금천구청,교육지원과,주무관,정아람,02-2627-2813
32,서울,금천구,2024 금천하모니축제,문화예술,05.10.~05.12.,구청광장,대면,2005,375,0,375,0,"15,000","15,000",미집계,금천문화재단,재단법인,서울특별시 금천문화재단 설립 및 운영에 관한 조례,해당없음,금천구청,문화체육과,주무관,장준석,02-2627-1445
33,서울,금천구,2024년 제7회 정조대왕 능행차 공동재현 행사,전통역사,10.05-10.06.,금천구청 광장 및 시흥행궁터 일대(시흥5동),대면,2016,180,0,180,0,"7,000","7,000",미집계,해당없음,,,해당없음,금천구청,문화체육과,주무관,이원지,02-2627-1453
34,서울,금천구,감로천 축제,기타(주민화합 등),10.19.,감로천생태공원,대면,2022,13,0,13,0,"1,000",900,100,독산4동 주민자치회,비영리조직,금천구 주민자치회 및 자치회관 설치운영에 관한 조례,해당없음,금천구 독산4동,독산4동 주민센터,주무관,최은경,02-2104-5331
35,서울,금천구,제4회 금천패션영화제,문화예술,11.01.~11.04.,금천구 가산동 일원(롯데시네마 가산디지털점),대면,2021,200,0,80,120,"2,090","2,090",미집계,금천문화재단,재단법인,금천문화재단 설립에 관한 조례,해당없음,금천문화재단,정책실,주임,장명화,070-7709-3219
36,서울,노원구,노원 수제맥주축제,기타,5.31.~6.1.,화랑대 철도공원,대면,2023,220,0,220,0,"29,454","29,450",4,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),해당없음,노원구청,문화도시과,주무관,최석우,02-2116-7142
37,서울,노원구,노원달빛산책,문화예술,10.11.~11.3.,당현천 일원,대면,2018,600,0,600,0,"956,858","956,858",0,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),해당없음,노원구청,문화도시과,주무관,최석우,02-2116-7142
38,서울,노원구,댄싱노원,문화예술,9.28.~9.29.,노해로 일원,대면,2013,700,0,700,0,124378,124334,44,노원문화재단,재단법인,서울특별시 노원구 문화재단 설립 및 운영에 관한 조례(2019년),해당없음,노원구청,문화도시과,주무관,최석우,02-2116-7142
39,서울,도봉구,우이천 벚꽃 축제,문화예술,04.03.~04.07.,우이천,대면,2013,270,0,270,0,"15,000","15,000",미집계,도봉구청,공공(구),자체추진,해당없음,도봉구,문화체육과,주무관,김진희,02-2091-2254
40,서울,도봉구,제12회 도봉구 등 축제,문화예술,10. 4. ~ 10. 12.,평화문화진지 및 다락원체육공원일대,대면,2013,170,0,170,0,"60,000","60,000",미집계,도봉구청,공공(구),자체추진,해당없음,도봉구,문화체육과,주무관,김진희,02-2091-2254
41,서울,동대문구,동대문구 봄꽃축제,생태자연,3.30.~3.31.,중랑천 제1체육공원 및 장안벚꽃로,대면,,"220,000",0,"220,000",0,"55,000","55,000",,"동대문구
문화관광과",,동대문구 문화체육행사 및 교실운영에 관한 조례 제2조,해당없음,동대문구청,문화관광과,주무관,오지은,02-2127-4711
42,서울,동대문구,선농대제,전통역사,4.20.,선농단,대면,,"238,000","2,100","235,900",0,"2,710","2,710",,"동대문
문화재단",재단법인,서울특별시 동대문문화재단 설립 및 운영에 관한 조례,문화재청,동대문구청,문화관광과,주무관,박상민,02-2127-4158
43,서울,동대문구,청룡문화제,전통역사,10.26.,용두근린공원,대면,1991,"30,000",0,"30,000",0,500,500,,동대문문화원,,지방문화원진흥법 및 서울시 동대문구 문화원 지원 및 육성에 관한 조례,해당없음,동대문구청,문화관광과,주무관,전상미,02-2127-4299
44,서울,마포구,제17회 마포나루 새우젓축제,"전통역사
특산물",10.18.~10.20.,월드컵공원 평화광장,대면,2008,510,0,510,0,"680,000","680,000",미집계,마포문화원,비영리법인,서울특별시 마포구 마포문화원 지원에 관한 조례,해당없음,마포구청,문화예술과,주무관,임신정,02-3153-8353
45,서울 ,마포구,제21회 마포음식문화축제,기타(주민화합 등),10월 중,도화소어린이공원 ,대면,2002,20,0,20,0,400,400,미집계,용강동상점가상인회,상인회,서울특별시 마포구 전통시장 및 상점가 육성을 위한 조례,해당없음,마포구청,경제진흥과,주무관,박병진,02-3153-8582
46,서울,마포구,하늘길 페스타,기타(상권활성화),10. 4.~10.5.,합정동 ,대면,2023,200,0,200,0,"1,000","1,000",미집계,해당없음,,,해당없음,마포구청,경제진흥과,주무관,이현경,02-3153-8574
47,서울,마포구,제4회 상암동 통통통 물통통 마을축제,기타,7월중(1일),구룡근린공원,대면,2018,20,0,20,0,"3,000","3,000",미집계,,,,해당없음,마포구,상암동,주무관,이윤선,02-3153-6963
48,서울,마포구,2024년 연남동주민화합대축제,기타(주민화합),10월 중,경의선숲길공원 연남구간 끝자락,대면,2015,20,0,20,0,300,300,미집계,-,-,-,해당없음,마포구청,연남동,주무관,양혜리,02-3153-6873
49,서울,서대문구,서대문 벚꽃 축제,문화예술,4월중,"홍제천, 안산일대",대면,2011,99,0,99,0,"40,000","40,000",미집계,,,,,서대문구청,문화체육과,주무관,이보라,02-330-1576
50,서울,서대문구,서대문독립축제,"문화예술, 전통역사",8월중,서대문형무소역사관,대면,2010,245,0,245,0,"147,000","147,000",미집계,,,,,서대문구청,문화체육과,주무관,이보라,02-330-1576
51,서울,서대문구,신촌글로벌대학문화축제,문화예술,9.25~9.27,신촌 연세로 일대,대면,2023,290,0,290,0,"531,000","530,000","1,000",,,,,서대문구청,문화체육과,주무관,이윤슬,02-330-6714
52,서울,서대문구,신촌카운트다운 콘서트,문화예술,12.31.,신촌 스타광장,대면,2022,226,0,226,0,"18,478","18,478",미집계,,,,,서대문구청,문화체육과,주무관,이윤슬,02-330-6714
53,서울,서초구,봄밤의 클래식 축제,문화예술,4월중,방배뒷벌공원,대면,2023,400,0,400,0,"5,000","5,000",,,,,,서초구청,문화관광과,주무관,신지애,02-2155-6229
54,서울,서초구,서초뮤직앤아트페스티벌,문화예술,6월중,고속터미널,대면,2023,200,0,200,0,"5,000","5,000",,서초문화재단,재단법인,서울특별시 서초구 문화재단 설립 및 운영에 관한 조례,,서초구청,문화관광과,주무관,신지애,02-2155-6229
55,서울,서초구,2024 서리풀페스티벌,문화예술,9월중,반포대로일대,대면,2015,"1,000",0,"1,000",0,"120,000","118,000","2,000",서초문화재단,재단법인,서울특별시 서초구 문화재단 설립 및 운영에 관한 조례,,서초구청,문화관광과,주무관,신지애,02-2155-6229
56,서울,영등포구,제18회 영등포 여의도 봄꽃축제,"문화예술, 생태자연",3월말 중,여의동,대면,2005,596,0,296,300,"2,100,000","2,100,000",미집계,영등포구청,지방자치단체,,해당없음,영등포구청,문화체육과,주무관,전수린,02-2670-3128
57,서울,영등포구,선유로운 축제,문화예술,5월 중,양평2동,대면,2023,80,0,80,0,"10,000","10,000",미집계,영등포구청,지방자치단체,,해당없음,영등포구청,지역경제과,주무관,김소영,02-2670-3428
58,서울,영등포구,안양천 썸머 페스티벌,생태자연,7월말~8월초,문래동,대면,2024,50,0,50,0,0,0,0,영등포구청,지방자치단체,,해당없음,영등포구청,문화체육과,주무관,전수린,02-2670-3128
59,서울,영등포구,선유로운 축제,문화예술,9~10월 중,양평2동,대면,2023,80,0,80,0,"5,000","5,000",미집계,영등포구청,지방자치단체,,해당없음,영등포구청,지역경제과,주무관,김소영,02-2670-3428
60,서울,영등포구,안양천 수변문화축제,"문화예술, 생태자연",9월~10월 중,안양천,대면,2024,140,70,70,0,0,,,영등포문화재단,재단법인,영등포문화재단 설립에 관한 조례,문화체육관광부,영등포문화재단,문화도시기획팀,팀장,조민우,02-2634-2234
61,서울,용산구,2024 이태원 지구촌 축제,문화예술,9월 중,이태원관광특구 일대,혼합형(대면 중심),2002,401,0,401,0,0,0,0,이태원관광특구연합회,사단법인,"˹민법˼ 제32조, ˹문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙˼ 제4조",해당 없음,용산구청,관광체육과,주무관,최영철,02-2199-7552
62,서울,용산구,제42회 남이장군사당제,전통역사,11.1.~11.5.,용문동 일원,대면,1982,40,0,40,0,"2,000","2,000",미집계,남이장군사당제보존회,지역단체,,해당없음,용산구청,문화진흥과,주무관,이승연,02-2199-7245
63,서울,용산구,용산 문화유산 야행,전통역사,9.27.~9.28.,효창공원,대면,2024,40,0,40,0,0,해당없음,해당없음,용산구청,지자체,,해당없음,용산구청,문화진흥과,주무관,이승연,02-2199-7245
64,서울,종로구,인사동 엔틱 & 아트페어,전통역사,8.~10.,인사동 일대,대면,1987,270,0,270,0,"10,000","8,000","2,000",(사)인사동전통문화보존회,사단법인,서울특별시 문화지구 관리 및 육성에 관한 조례,해당없음,종로구청,문화과,주무관,안미희,02-2148-1805
65,서울 ,종로구,놀러와 대학로! 차 없는 거리 축제,문화예술,미정,대학로 일원,대면,1985,290,0,290,0,"190,000","40,000","150,000",종로구청 문화과,지방자치단체,서울특별시 문화지구 관리 및 육성에 관한 조례,해당없음,종로구청,문화과,주무관,박신형,02-2148-1812
66,서울,종로구,2024 웰컴대학로 축제(가칭),문화예술,미정,대학로 일원,혼합형,2017,"1,500","1,500",0,0,"50,000","50,000",미집계,한국관광공사 한류콘텐츠팀,준정부기관,,해당없음,종로구청,문화과,주무관,박신형,02-2148-1812
67,서울,종로구,제16회 정순왕후 문화제,전통역사,4월중,숭인근린공원(동망봉),대면,2008,30,0,30,0,350,350,미집계,종로구청 관광체육과,지방자치단체,,해당없음,종로구청,관광체육과,주무관,홍태경,02-2148-1855
68,서울,종로구,궁중과 사대부가 전통음식축제,전통역사,10월중,운현궁,대면,2004,55,0,55,0,"3,055","3,055",미집계,종로구청 관광체육과,지방자치단체,,해당없음,종로구청,관광체육과,주무관,이성민,02-2148-1852
69,서울,종로구,종로청계야 놀자,문화예술,10월중,청계관광특구 내,대면,2007,100,50,0,50,"2,673","2,673",미집계,종로구청 관광체육과,지방자치단체,,해당없음,종로구청,관광체육과,주무관,양슬기,02-2148-1864
70,서울,종로구,돈화문로 문화축제,문화예술,10월중,돈화문로 일대,대면,2019,55,0,55,0,"1,403","1,403",미집계,종로구청 관광체육과,지방자치단체,,해당없음,종로구청,관광체육과,주무관,김진아,02-2148-1862
71,서울,종로구,북촌공방축제,문화예술,10월중,서울교육박물관 마당,대면,2011,40,0,40,0,"7,900","7,900",미집계,종로구청 관광체육과,지방자치단체,,해당없음,종로구청,관광체육과,주무관,김진아,02-2148-1862
72,서울,중구,정동야행축제,문화예술,05.24.~05.25.,정동 일대,대면,2015,"359,000","88,000","271,000",0,"103,000","100,000","3,000",-,-,-,문화체육관광부,중구,문화정책과,주무관,박장호,02-3396-4613
73,서울,중랑구,2023 서울장미축제,문화예술,5월중,중랑장미공원,대면,2015,400,0,400,0,"2,600,000","2,600,000",,중랑문화재단,재단법인,서울특별시 중랑문화재단 설립 및 운영에 관한 조례,해당없음,중랑구청,문화관광과,주무관,이평천,02-2094-1823
74,서울,중랑구,2023 용마폭포문화예술축제,문화예술,10월중,용마폭포공원,대면,2016,80,0,80,0,"25,000","25,000",,중랑문화재단,재단법인,서울특별시 중랑문화재단 설립 및 운영에 관한 조례,해당없음,중랑구청,문화관광과,주무관,김진수,02-2094-1822
75,서울,성북구,2024 성북천 봄꽃축제,기타,04.12~04.13(예정),성북천상점가일원,대면,2023,30,0,30,0,0,미집계,미집계,,,,해당없음,성북구청,지역경제과,주무관,박정민,02-2241-3972
76,서울,성북구,제13회 유러피안 크리스마스 마켓,문화예술,12월 중(미정) 2일간,한성대입구역 부근,대면,2010,80,0,80,0,"23,000","10,000","13,000",성북글로벌빌리지센터,공공기관(성북구청),"서울특별시 외국인주민 및 다문화가족 지원조례
서울특별시 성북구 거주외국인 등 지원 조례",해당없음,성북구청,행정지원과,주무관,강길원,02-2241-6381
77,서울,송파구,사각사각 가을축제,문화예술,10월 중(2일간),잠실한강공원 사각사각플레이스,대면,2018,66,0,66,0,250,250,0,해당없음,해당없음,해당없음,해당없음,서울시 미래한강본부,한강문화관광과,주무관,이하연,02-3780-0799
78,부산,-,조선통신사축제,전통역사,5.3.~5.5.,광복로 일원,대면,2003,260,0,260,0,"10,000","8,000","2,000",부산문화재단,재단법인,부산문화재단 설립 및 운영 지원 조례,해당없음,부산광역시,문화유산과,주무관,백종훈,051-888-5096
79,부산,-,부산원도심활성화축제,문화예술,5월중,"중구,서구 일원",대면,2015,150,0,135,15,"6,100","6,100",미집계,(사)부산문화관광축제조직위원회,사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해당없음,부산광역시,관광진흥과,주무관,임성원,051-888-5221
80,부산,-,부산항축제,기타,"5월중
(예정)","부산항국제여객터미널, 영도아미르공원 일원",혼합형,2008,600,0,300,300,"55,000","55,000",미집계,공모예정,,,해당없음,부산광역시,해양레저관광과,주무관,이정민,051-888-5352
81,부산,-,부산바다축제,문화예술,7월말,다대포해수욕장 등,대면,1996,920,0,870,50,"50,000","50,000",미집계,(사)부산문화관광축제조직위원회,사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해당없음,부산광역시,관광진흥과,주무관,박지선,051-888-5222
82,부산,-,부산국제록페스티벌,문화예술,10월중,삼락생태공원,대면,2000,"4,000",0,730,"3,270","30,000","30,000",미집계,(사)부산문화관광축제조직위원회,사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해당없음,부산광역시,관광진흥과,주무관,임성원,051-888-5221
83,부산,-,부산불꽃축제,문화예술,11월중,광안리해수욕장 일원,대면,2005,"3,000",0,"1,700","1,300","770,000","770,000",미집계,(사)부산문화관광축제조직위원회,사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해당없음,부산광역시,관광진흥과,주무관,임태훈,051-888-5222
84,부산,-,해운대북극곰축제,생태자연,12월중,해운대해수욕장,대면,1988,500,0,330,170,"10,000","10,000",미집계,부산일보사,,,해당없음,부산광역시,관광진흥과,주무관,임성원,051-888-5221
85,부산,-,부산 시민의종 타종행사,문화예술,12.31.,용두산공원,대면,-,108,0,108,0,"7,675","7,675",미집계,(사)부산문화관광축제조직위원회,사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해당없음,부산광역시,관광진흥과,주무관,박지선,051-888-5222
86,부산,중구,광복로 연등문화제,문화예술,5월중,광복로 일원,대면,2014,60,0,50,10,"1,700","1,700",미집계,(사)부산시중구불교연합회,사단법인,부산광역시 중구 축제의 지원 및 운영에 관한 조례,해당없음,중구청,문화관광과,주무관,김지훈,051-600-4065
87,부산,중구,유라리건맥축제,지역특산물,9월중,유라리광장 일원,대면,2023,70,0,70,0,0,미집계,미집계,부산광역시 중구,지자체,부산광역시 중구 축제의 지원 및 운영에 관한 조례,해당없음,중구청,문화관광과,주무관,김민선,051-600-4085
88,부산,중구,부산자갈치축제,지역특산물,10월중,자갈치시장 일원,대면,1992,280,0,280,0,0,미집계,미집계,(사)부산자갈치문화관광축제위원회,사단법인,부산광역시 중구 축제의 지원 및 운영에 관한 조례,해당없음,중구청,문화관광과,주무관,김민선,051-600-4085
89,부산,중구,보수동책방골목 문화축제,문화예술,10월중,보수동책방골목 일원,대면,2004,11,0,10,1,600,600,미집계,보수동책방골목번영회,비영리법인,부산광역시 중구 독서문화 진흥 조례,해당없음,중구청,문화관광과,주무관,최우영,051-600-4045
90,부산,중구,광복로 겨울빛 트리축제,문화예술,24.12.~25.1.,광복로 일원,대면,2022,900,0,600,300,0,미집계,미집계,부산광역시 중구,지자체,부산광역시 중구 축제의 지원 및 운영에 관한 조례,해당없음,중구청,문화관광과,주무관,김민선,051-600-4085
91,부산,서구,부산고등어축제,지역특산물,10월중,송도해수욕장,혼합형,2008,190,0,156,34,"210,000","210,000",미집계,부산서구문화원,비영리법인,부산광역시 문화원 지원 및 육성에 관한 조례,해당없음,서구청,문화관광과,주무관,조연희,051-240-4062
92,부산,서구,부산 서구 의료관광축제,기타(지역산업),10월중,송도오션파크,대면,2022,90,0,90,0,"10,000","10,000",미집계,부산광역시 서구,지자체,"부산 서구 의료관광 활성화에 
관한 조례",해당없음,서구청,기획감사실,주무관,성명희,051-240-4017
93,부산,동구,부산차이나타운문화축제,문화예술,10.18.~10.20.,"부산역, 차이나타운 일원",혼합형,2004,155,0,155,0,"40,000","30,000","10,000",차이나타운축제추진위원회,위원회,부산광역시 동구 축제운영에 관한 조례,해당없음,동구청,문화관광과,주무관,이정미,051-440-4062
94,부산,동구,동구 3.1절 기념 행사,문화예술,3.9.,시민마당 등,대면,2013,0,미정,미정,0,500,500,0,부산동구문화원,비영리법인,지방문화원진흥법 제4조 제1항,,동구청,문화관광과,주무관,김진용,051-440-4064
95,부산,동구,웹툰이바구길축제,문화예술,10월중,범일동 성북시장(웹툰이바구길) 일원,대면,2023,40,0,40,0,"4,000","4,000",미집계,부산광역시 동구,지자체,부산광역시 동구 축제운영에 관한 조례,해당없음,동구청,문화관광과,주무관,백지수,051-440-4812
96,부산,영도구,영도다리축제,문화예술,10월중,아미르공원,대면,1993,521,0,413,108,"150,000","150,000",미집계,부산영도문화원,비영리법인,부산광역시 영도구 영도문화원 지원 조례,해당없음,영도구,문화관광과,주무관,류세진,051-419-4064
97,부산,영도구,영도커피페스티벌,문화예술,5.24.~5.26.,아미르공원,대면,2019,256,0,256,0,"110,000","110,000",미집계,부산광역시 영도구,지자체,,해당없음,영도구,경제산업과,주무관,곽지향,051-419-6332
98,부산,부산진구,"전포커피축제
(구. 전포카페거리축제)",기타,10월중,전포카페거리 일원,대면,2017,80,0,80,0,"8,500","8,400",100,"부산진구/
전포카페거리,전포공구길, 전포사잇길 상인회","지자체
/민간단체",부산광역시 부산진구 축제 육성 및 지원에 관한 조례,해당없음 ,부산진구청,문화관광과,주무관,김지영,051-605-4524
99,부산,부산진구,서면메디컬스트리트축제 ,기타,10월중,서면 메디컬스트리트일원,대면,2011,100,0,75,25,"5,000","4,000","1,000","부산진구/
(사)서면메디컬스트리트 의료관광협의회           ","지자체
/협의회",부산광역시 부산진구 축제 육성 및 지원에 관한 조례,해당없음,부산진구청,문화관광과,주무관,송지원,051-605-4521
100,부산,부산진구,서면 빛 축제 ,주민화합,24.10.~25.1.,서면1번가 일원,대면,2020,600,0,600,0,"96,000","96,000",0,부산광역시 부산진구 ,지자체,부산광역시 부산진구 축제 육성 및 지원에 관한 조례,해당없음,부산진구청,문화관광과,주무관,이지현,051-605-4522
101,부산,동래구,동래읍성역사축제,전통역사,10.11.~10.13.,"동래문화회관, 동래읍성광장,
온천천카페거리,
온천장 등",대면,1995,875,0,775,100,"201,820","201,820",미집계,"동래구, 동래문화원, 
동래읍성역사추진위원회","비영리법인/
위원회/
지방자치단체",지방문화원진흥법 제4조 제1항,해당없음,동래구청,문화관광과,주무관,문대혁,051-550-4094
102,부산,동래구,동래 3.1만세운동재현행사,문화예술,3.1.,내성초 및 동래시장 일원 만세거리,대면,1996,33,미정,33,0,"2,000","2,000",미집계,"동래구, 동래문화원","비영리법인/
지방자치단체",지방문화원진흥법 제4조 제1항,,동래구청,문화관광과,주무관,최원영,051-550-4092
